AV5_8O-PtUQoPd9mybjm,0.01698600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PAdtUQoPd9mybjn,0.01558600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PJ2tUQoPd9mybjr,0.01730700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OWstUQoPd9mybjV,0.03138800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PFKtUQoPd9mybjp,0.01527600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8POjtUQoPd9mybjt,0.04116100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1xTtUQoPd9mybkY,0.05697000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1yhtUQoPd9mybkZ,0.05742200000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1uKtUQoPd9mybkX,0.03463900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1rdtUQoPd9mybkV,0.03456300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1rptUQoPd9mybkW,0.03400000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_E2tUQoPd9mybZP,0.03605500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8PUMtUQoPd9mybjv,0.01725400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OdmtUQoPd9mybjY,0.01648700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OLHtUQoPd9mybjQ,0.01698400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL17rtUQoPd9mybkd,0.01548700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1l6tUQoPd9mybkT,0.01465100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL10wtUQoPd9mybka,0.01358100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_abtUQoPd9mybZY,0.01475400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrF5tUQoPd9mybl8,0.01336500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APp-NtUQoPd9myblf,0.01334800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APp-XtUQoPd9myblg,0.01462600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrZctUQoPd9mybmE,0.02646200000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqsAtUQoPd9mybly,0.03079800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqpdtUQoPd9myblx,0.01747000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqM_tUQoPd9myblm,0.01852800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APsXTtUQoPd9mybmd,0.01420600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APr0EtUQoPd9mybmP,0.01372900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrvutUQoPd9mybmN,0.01437900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrzstUQoPd9mybmO,0.01478900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrr9tUQoPd9mybmL,0.01472500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APr2btUQoPd9mybmQ,0.01490000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APrb1tUQoPd9mybmF,0.01842800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APsNEtUQoPd9mybmZ,0.02935000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APs47tUQoPd9mybmr,0.01444000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtIftUQoPd9mybmx,0.01760300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtNxtUQoPd9mybmz,0.01401500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtfotUQoPd9mybm6,0.01333400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_LztUQoPd9mybZS,0.01388400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_C9tUQoPd9mybZO,0.01519500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_vItUQoPd9mybZh,0.01420000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_HYtUQoPd9mybZQ,0.01484400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_t_x5tUQoPd9mybZi,0.02942000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqaatUQoPd9myblr,0.01327100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
